CONTRACT_INFO_DATE,CONTRACT_INFO_AMOUNT/RENT,ID,PROPERTY_CATEGORY,PREFECTURE,CITY,NEAREST_TRAIN_LINE,NEAREST_STATION,DISTANCE_TO_NEAREST_STATION_ON_FOOT,AMOUNT/RENT,DATE_OF_CONSTRUCTION,OCCUPATION_AREA,TOTAL_NUMBER_OF_UNITS,CONSTRUCTION,NUMBER_OF_ROOMS,SIZE_OF_LOT,SIZE_OF_LOT_MEASUREMENT_METHOD,LAND_CATEGORY,CITY_PLANNING_AREA,USE_DISTRICT,LAND_OWNERSHIP,PRIVATE_ROAD,SETBACK,NUMBER_OF_CONNECTED_ROADS,STRONG_POINTS,WATER_SUPPLY,GUS_SUPPLY,DRAINAGE,PLACE_OF_WASHER,BATH,BATH_NOTE,TOILET,TOILET_NOTE,STOVE_HEATING_SYSTEM,GARDEN,PARKING,BICYCLE_PARKING,DISTANCE_TO_ELEMENTARY_SCHOOL,DISTANCE_TO_JUNIOR_HIGH_SCHOOL,DISTANCE_TO_COMBINIENCE_STORE,DISTANCE_TO_SUPERMARKET,DISTANCE_TO_DRUG_STORE,DISTANCE_TO_HOSPITAL,DISTANCE_TO_PLAYGROUND,DISTANCE_TO_BANK,FLOOR_AREA_RATIO,BUILDING_COVERAGE_RATIO,FARMLAND,RETAIL_PREMISES,LOCAL_GOVERNMENT_PREFECTURE,LOCAL_GOVERNMENT_CITY
,,9002778,売買居住用,秋田県,大館市,JR花輪線,東大館,26分,3000000,1968/4/1,105.15,,木造,5,257.96,公簿,宅地,非線引区域,第一種住居地域,所有権,無,有,2,敷地内に2台駐車可,公営,プロパン,下水,,,,,,,,,,1300,1900,450,400,350,1900,,,200,60,無,無,秋田県,大館市
,,9002793,賃貸居住用,大分県,大分市,,,2分,60000,1976/5/1,84.4,,木造,3,,,,,,,無,無,,,公営,都市ガス,下水,室内,専用,,専用,,,,,,,,,,,,,,,,無,無,大分県,大分市
,,9002800,売買居住用,秋田県,大館市,JR花輪線,東大館,36分,10000000,1985/8/1,142.83,,木造,5,425.64,公簿,宅地,非線引区域,第一種低層住居専用地域,所有権,無,無,,"敷地内に2台駐車可
住宅と別に物置あり
庭あり",公営,プロパン,汲み取り式,,,,,,,,,,1900,3200,1600,1600,,,,,,,無,無,秋田県,大館市
,,9002821,売買居住用,富山県,高岡市,あいの風とやま鉄道,高岡,18分,3200000,1973/10/1,139.06,,木造,6,233.8,公簿,宅地,,準工業地域,所有権,無,無,2,,,,,,,,,,,,,,350,1400,,,,1100,,,200,60,無,無,富山県,高岡市
,,9002822,売買居住用,富山県,高岡市,JR城端線,戸出,10分,950000,1969/9/1,169.12,,木造,8,125.61,公簿,宅地,,第一種住居地域,所有権,無,無,2,,,,,,,,,,,,空き有,,900,800,,,,280,,,200,60,無,無,富山県,高岡市
,,9002843,売買居住用,秋田県,秋田市,JR奥羽本線,追分,6500m,1000000,1976/10/1,245.29,,木造,8,509.07,公簿,宅地,市街化調整区域,,所有権,無,無,,金足黒川にある延べ床面積２４５㎡（７４坪）、８DKの住宅です。,公営,プロパン,下水,室内,専用,,専用,,ガス,,,,5000,6600,,,,10200,,,200,70,無,無,秋田県,秋田市
,,9002877,売買居住用,富山県,高岡市,JR城端線,二塚,19分,3980000,1982/6/1,142.38,,木造,5,134.52,公簿,宅地,,,所有権,無,無,2,,,,,,,,,,,,空き有,,1200,2200,,,,,,,,,無,無,富山県,高岡市
,,9002881,売買居住用,兵庫県,神崎郡神河町,JR播但線,新野,4100m,5800000,,178.47,1,木造,8,326.17,公簿,宅地,都市計画区域外,,所有権,無,無,,,公営,プロパン,,,専用,,専用,,ガス,,無,,,,,,,,,,,,無,無,兵庫県,神崎郡神河町
01/24/25,,9002902,売買居住用,静岡県,榛原郡吉田町,,,1100m,3000000,1976/3/1,101.85,1,木造,5,144.23,公簿,宅地,非線引区域,第二種中高層住居専用地域,所有権,無,無,,,公営,プロパン,浄化槽,,,,,,,,,,1800,2400,,1200,,3700,500,,100,50,無,無,静岡県,榛原郡吉田町
,,9002912,売買居住用,大分県,大分市,JR久大本線,古国府,15分,24990000,1988/9/1,107.84,,木造,4,204.04,公簿,宅地,市街化区域,第二種中高層住居専用地域,所有権,無,無,,,公営,,下水,,,,,,,,,,,,,,,,,,200,60,無,無,大分県,大分市
,,9002913,売買居住用,大分県,大分市,,,2分,18800000,1983/7/1,89.66,,木造,4,245.5,公簿,宅地,市街化調整区域,,所有権,無,無,1,,公営,プロパン,浄化槽,,,,,,,,,,,,,,,,,,100,50,無,無,大分県,大分市
,,9002914,売買居住用,大分県,大分市,,,2分,15800000,1984/6/1,113.11,,木造,5,207.17,公簿,宅地,市街化区域,第一種住居地域,所有権,無,無,1,,公営,プロパン,浄化槽,,,,,,,,,,,,,,,,,,200,60,無,無,大分県,大分市
,,9002928,賃貸居住用,兵庫県,高砂市,JR山陽本線,曽根,1500m,45000,1976/11/1,,,木造,,,,,,,,無,無,,,公営,都市ガス,,,専用,,専用,,,,,,600,800,600,600,,,,,,,無,無,兵庫県,高砂市
,,9002929,売買居住用,兵庫県,高砂市,JR山陽本線,曽根,1500m,5000000,1976/11/1,,,木造,,116,,,,,,無,無,,,公営,都市ガス,下水,,専用,,専用,,,,空き有,,1500,800,600,600,,,,,,,無,無,兵庫県,高砂市
,,9002936,売買居住用,秋田県,大館市,JR花輪線,東大館,260m,1900000,1976/1/1,137.98,,木造,7,251.7,公簿,,,第一種住居地域,,無,無,,"住宅と別に物置あり
敷地内に2台駐車可",公営,プロパン,下水,,,,,,,,,,1200,600,120,1800,,750,,,200,60,無,無,秋田県,大館市
10/23/25,,9002938,売買居住用,新潟県,長岡市,JR信越本線,長岡,5分,3000000,1944/1/1,107.89,,木造,5,659.8,公簿,,市街化区域,第一種住居地域,所有権,無,無,,閑静な住宅街に位置し、約112坪の山林を併設するのんびり田舎暮らし向けの物件です。,公営,都市ガス,下水,,専用,,専用,,,有り,空き有,,920,920,1400,1300,,11000,,,,,無,無,新潟県,長岡市
12/23/25,,9002939,売買居住用,新潟県,長岡市,JR信越本線,長岡,260m,5000000,1983/9/1,827.3,,鉄骨造,,584.64,公簿,宅地,非線引区域,近隣商業地域,,無,無,,元割烹旅館の売買物件　108帖の大広間あり,公営,都市ガス,下水,室内,専用,,専用,,,,空き有,,600,900,1500,80,,13400,,,200,80,無,有,新潟県,長岡市
12/23/25,,9002940,賃貸居住用,新潟県,長岡市,JR越後線,分水,350m,80000,1995/9/1,218.54,,木造,9,,,,,,,無,無,,海岸地域の賃貸物件　のんびり田舎暮らし向け,公営,プロパン,浄化槽,,専用,,専用,,,,空き有,,4300,7300,3900,3900,,31300,,,,,無,無,新潟県,長岡市
,,9002970,売買居住用,三重県,四日市市,三岐鉄道三岐線,山城,,4900000,1970/11/1,198.09,,木造,14,485.94,公簿,,市街化調整区域,,所有権,無,無,1,,,,,,,,,,,,,,1000,,,,,,,,,,無,無,三重県,四日市市
,,9002989,売買居住用,京都府,南丹市,JR山陰本線,日吉,1分,19000000,1974/12/1,244.76,,木造,4,1002,公簿,宅地,都市計画区域外,,所有権,無,無,1,,公営,プロパン,下水,,,,,,,,空き有,,,,,,,,,,,,無,無,京都府,南丹市
,,9003001,売買居住用,富山県,高岡市,JR城端線,戸出,8分,1300000,1970/10/1,106.92,,木造,6,92.56,公簿,宅地,市街化区域,第一種住居地域,所有権,無,無,,,井戸,プロパン,汲み取り式,,専用,,専用,,,,無,,1200,2300,,550,,6300,,,200,60,無,無,富山県,高岡市
,,9003002,売買居住用,富山県,高岡市,JR城端線,戸出,38分,10800000,1966/1/1,409.44,,その他,12,3061.93,公簿,宅地,市街化調整区域,,所有権,無,無,,,公営,プロパン,浄化槽,,専用,,専用,,,,空き有,,2100,3000,,2600,,6800,,,400,70,無,無,富山県,高岡市
,,9003027,賃貸居住用,鳥取県,東伯郡北栄町,JR山陰本線,下北条,3300m,43000,1983/11/1,98.29,,木造,2,,,,,,,無,無,,水回りや内装をリフォーム済みで事務所として利用も可能な木造平屋建て住宅です。,公営,,下水,,専用,,専用,,,,,,1600,2000,450,1700,,,,,,,無,無,鳥取県,東伯郡北栄町
,,9003032,売買居住用,新潟県,村上市,JR羽越本線,越後早川,2600m,1900000,,190.73,,木造,6,538,公簿,宅地,,,,無,無,1,"・本物件は海から近い場所にある住宅です。
・国道345号を車で走って市街地まで約15分、笹川流れまで約13分、瀬波温泉街まで約16分ほどで行くことができます。
・母屋一階は平成9年に改築済み",公営,プロパン,下水,室内,専用,,専用,,ガス,,,,8900,10000,,,,11000,,,,,無,有,新潟県,村上市
,,9003034,売買居住用,富山県,高岡市,JR氷見線,能町,5分,6500000,1978/10/1,160.53,,木造,5,492.09,公簿,宅地,市街化区域,工業地域,所有権,無,無,,,公営,プロパン,下水,,専用,,専用,,,,空き有,,650,3000,,1800,,3000,,,200,60,無,無,富山県,高岡市
,,9003038,売買居住用,三重県,伊勢市,,,,1200000,1946/1/1,,,指定なし,,79.32,,,,,,無,無,,,,,,,,,,,,,,,,,,,,,,,,,無,無,三重県,伊勢市
,,9003045,売買居住用,埼玉県,日高市,西武秩父線,高麗,900m,8500000,1977/8/1,78.66,,木造,,118.77,公簿,宅地,市街化区域,第一種中高層住居専用地域,所有権,無,無,2,,公営,都市ガス,下水,有,専用,,専用,,,,,,800,900,400,700,,1000,,,150,60,無,無,埼玉県,日高市
,,9003054,賃貸居住用,秋田県,秋田市,JR羽越本線,羽後牛島,2200m,35000,1968/8/1,96.87,,木造,5,,,,,,,無,無,,茨島四丁目にある、５DK２階建て賃貸住宅です。総合ショッピングセンターが近くにあります。,公営,都市ガス,下水,,,,,,,,無,,2500,3300,,500,,2700,,,,,無,無,秋田県,秋田市
,,9003060,売買居住用,富山県,高岡市,あいの風とやま鉄道,高岡,10分,2300000,1976/7/1,162.57,,木造,8,91.52,公簿,宅地,,,所有権,無,無,1,,,,,,,,,,,,,,1000,1300,,,,2000,,,,,無,無,富山県,高岡市
,,9003064,売買居住用,三重県,津市,,,2分,5000000,,183.46,,木造,8,173.55,,,,,,無,無,,・田畑あり　・離れあり　・合併処理浄化槽完備,,プロパン,浄化槽,室内,,,,,,,空き有,,8800,11900,,,,,,,,,無,無,三重県,津市
,,9003066,売買土地,大分県,大分市,JR日豊本線,大分,11分,35000000,,,,指定なし,,264.91,公簿,宅地,市街化区域,近隣商業地域,所有権,無,無,1,,,,,,,,,,,,,,,,,,,,,,300,80,無,無,大分県,大分市
,,9003067,売買居住用,大分県,大分市,JR日豊本線,坂ノ市,30分,27000000,1991/12/1,211.74,,木造,6,457.77,公簿,宅地,市街化調整区域,,所有権,無,無,2,,公営,,下水,,,,,,,,,,,,,,,,,,200,60,無,無,大分県,大分市
,,9003068,売買居住用,大分県,大分市,,,4分,18800000,1988/7/1,121.72,,指定なし,5,204.57,公簿,宅地,市街化区域,第一種低層住居専用地域,所有権,無,無,1,,公営,,下水,,,,,,,,,,,,,,,,,,100,50,無,無,大分県,大分市
12/23/25,2000000,9003101,売買居住用,静岡県,焼津市,JR東海道本線,焼津,650m,,1983/8/1,87.77,,木造,3,248.05,,宅地,市街化調整区域,,所有権,無,無,,,公営,プロパン,浄化槽,,専用,,専用,,,,空き有,,1200,2400,,3100,,1500,,,80,50,無,無,静岡県,焼津市
12/23/25,,9003134,売買居住用,岩手県,北上市,JR北上線,藤根,19分,6000000,1984/12/1,90.49,,木造,4,212.35,公簿,宅地,非線引区域,,所有権,無,無,1,,公営,,汲み取り式,,,,,,,,空き有,,,,,,,,,,200,70,無,無,岩手県,北上市
,,9003139,売買居住用,京都府,福知山市,,,,5800000,1967/1/1,189.25,,木造,9,801,,,,,,無,無,,市街地にほど近いのどかな田園地域。敷地は約800㎡と広く、管理状態良好です。,,,,,,,,,,,,,,,,,,,,,,,無,無,京都府,福知山市
,,9003144,売買居住用,富山県,高岡市,あいの風とやま鉄道,高岡,8分,1000000,1929/1/1,104.12,,木造,4,71,実測,宅地,市街化区域,商業地域,,無,無,,,公営,都市ガス,下水,,専用,,専用,,,,無,,1500,1800,,1200,,1600,,,400,80,無,無,富山県,高岡市
,,9003147,売買居住用,佐賀県,佐賀市,,,,6000000,1952/1/1,155.37,,木造,6,612.17,,,,,,無,無,,約12坪の小屋あり,井戸,プロパン,その他,,専用,,,,,,,,,,,,,,,,,,無,無,佐賀県,佐賀市
,,9003161,賃貸居住用,石川県,能美市,,,,30000,,169.77,1,木造,6,,,,,,,無,無,,"能美市福島町の住宅街にある物件です。近くに児童公園もあり子育て環境としても良好です。
お風呂等一部劣化している部分があり、修繕が必要です。",公営,,下水,,専用,,専用,,,,,,,,,,,,,,,,無,無,石川県,能美市
12/23/25,,9003172,売買土地,群馬県,太田市,東武伊勢崎線,太田,2600m,3000000,,,,指定なし,,202,,田,市街化区域,第一種中高層住居専用地域,,無,無,,,,,,,,,,,,,,,,,,,,,,,100,50,無,無,群馬県,太田市
,,9003173,売買居住用,大分県,大分市,,,4分,24800000,1987/7/1,132.07,,軽量鉄骨造,5,249.14,公簿,宅地,市街化区域,第一種低層住居専用地域,所有権,無,無,2,,公営,,下水,,,,,,,,,,,,,,,,,,100,50,無,無,大分県,大分市
,,9003181,売買居住用,富山県,高岡市,,,2分,15000000,2016/3/1,97,,木造,,221.01,公簿,宅地,市街化区域,第一種住居地域,所有権,無,無,,,,,,,,,,,,,,,600,650,,,,,,,200,60,無,無,富山県,高岡市
,,9003192,売買居住用,兵庫県,神崎郡神河町,JR播但線,寺前,1900m,4100000,1985/5/1,80.3,1,木造,4,273.58,公簿,宅地,都市計画区域外,,所有権,無,無,,,公営,プロパン,下水,,専用,,専用,,,,,,,,,,,,,,,,無,無,兵庫県,神崎郡神河町
,,9003193,売買居住用,兵庫県,神崎郡神河町,JR播但線,寺前,400m,5300000,1977/7/1,111.93,1,木造,6,222.8,公簿,宅地,都市計画区域外,,所有権,無,無,1,駅近のコンパクトな物件です。,公営,,下水,,専用,,専用,,IH,,,,,,,,,,,,,,無,無,兵庫県,神崎郡神河町
,,9003219,売買土地,富山県,高岡市,万葉線,広小路,1分,35000000,,,,指定なし,,478.34,公簿,宅地,市街化区域,商業地域,所有権,無,無,,,,,,,,,,,,,,,1500,1800,,290,,1000,,,400,80,無,無,富山県,高岡市
,,9003236,売買居住用,大分県,大分市,JR日豊本線,坂ノ市,,27000000,1991/12/1,211.74,,木造,6,502.57,公簿,宅地,市街化調整区域,,所有権,無,無,2,,公営,,浄化槽,,,,,,IH,,,,,,,,,,,,200,60,無,無,大分県,大分市
,,9003237,売買居住用,大分県,大分市,JR日豊本線,高城,25分,27900000,2016/3/1,112.61,,木造,4,188.94,公簿,宅地,市街化区域,第一種中高層住居専用地域,所有権,無,無,,,公営,,下水,,,,,,,,,,,,,,,,,,200,60,無,無,大分県,大分市
,,9003265,売買居住用,富山県,高岡市,万葉線,志貴野中学校前,,17980000,1985/1/1,266.63,,木造,9,363.69,,宅地,市街化調整区域,,所有権,無,無,1,,公営,プロパン,下水,,専用,,専用,,,,空き有,,2200,1900,,1500,,4100,,,70,400,無,無,富山県,高岡市
,,9003310,売買居住用,京都府,南丹市,JR山陰本線,園部,20分,6000000,,,,木造,4,,公簿,宅地,市街化区域,近隣商業地域,所有権,無,無,5,,公営,プロパン,下水,,,,,,,,近隣,,,,,,,,,,200,80,無,有,京都府,南丹市
,,9003325,売買土地,三重県,四日市市,近鉄名古屋線,楠,900m,3900000,,,,指定なし,,108.89,公簿,,市街化区域,第一種中高層住居専用地域,,無,有,,,,,,,,,,,,,,,2100,,600,900,,,,,120,60,無,無,三重県,四日市市
,,9003343,売買居住用,富山県,高岡市,あいの風とやま鉄道,福岡,,4800000,1980/1/1,180.35,1,木造,9,450.79,公簿,宅地,,,,無,無,,,,,,,,,,,,,,,2700,4400,,,,5800,,,,,無,無,富山県,高岡市
,,9003388,売買居住用,富山県,高岡市,,,2分,2500000,1983/11/1,118.14,,木造,5,108,公簿,宅地,市街化区域,,所有権,無,無,,,公営,プロパン,下水,,専用,,専用,,,,空き有,,140,950,,2300,,550,,,,,無,無,富山県,高岡市
,,9003399,売買居住用,大分県,大分市,JR久大本線,大分,13分,7800000,1977/1/1,128.15,,木造,5,231.4,公簿,宅地,市街化区域,第一種中高層住居専用地域,所有権,無,無,,,,,,,,,,,,,,,,,,,,,,,200,60,無,無,大分県,大分市
,,9003440,売買居住用,秋田県,秋田市,JR奥羽本線,土崎,1400m,23500000,1995/7/1,160.02,,木造,4,420.05,公簿,宅地,市街化区域,近隣商業地域,所有権,無,無,2,広めの敷地（４２０㎡（１２７坪））で、北西の角地にある４SLDKの二階建て住宅です。,公営,都市ガス,下水,,専用,,専用,,ガス,,,,1100,800,,1400,,3000,,,200,80,無,無,秋田県,秋田市
,,9003446,売買居住用,大分県,大分市,JR久大本線,豊後国分,9分,6500000,1976/1/1,75,,木造,4,195.53,公簿,宅地,市街化調整区域,,所有権,無,無,,,公営,プロパン,下水,,,,,,,,,,,,,,,,,,200,60,無,無,大分県,大分市
10/23/25,,9003459,売買居住用,鳥取県,米子市,JR境線,河崎口,14分,7000000,1970/10/1,141.2,,木造,6,1627,公簿,,,,所有権,無,無,1,ゆったり敷地で広々活用！,公営,プロパン,下水,,,,,,,,空き有,,850,1500,,,,,,,240,70,無,無,鳥取県,米子市
,,9003468,売買居住用,富山県,高岡市,JR氷見線,越中中川,4分,3500000,1985/1/1,97.51,,木造,5,188.23,公簿,宅地,市街化区域,第一種住居地域,所有権,無,無,,,公営,都市ガス,下水,,専用,,専用,,,,無,,1400,1700,,1200,,1000,,,200,60,無,無,富山県,高岡市
,,9003471,賃貸居住用,大分県,大分市,,,2分,39000,1964/1/1,50.13,,木造,3,,,,,,,無,無,,,公営,プロパン,下水,,,,,,,,,,,,,,,,,,,,無,無,大分県,大分市
,,9003503,賃貸居住用,群馬県,安中市,JR信越本線,安中,1000m,50000,1988/3/1,133.5,1,木造,3,,,,,,,無,無,,駅や病院も近く、住みやすい環境です。,公営,プロパン,浄化槽,室内,専用,,専用,,ガス,有り,空き有,有り,1300,1000,220,2100,900,400,1200,1300,,,無,無,群馬県,安中市
,,9003519,売買居住用,富山県,高岡市,あいの風とやま鉄道,福岡,30分,16800000,1993/5/1,145.1,,木造,4,207.2,公簿,宅地,非線引区域,,,無,無,,,井戸,プロパン,下水,,専用,,専用,,,,空き有,,3600,4000,,2400,,8100,,,,,無,無,富山県,高岡市
,,9003532,売買居住用,富山県,高岡市,あいの風とやま鉄道,福岡,3100m,21500000,2009/1/1,214.81,,木造,5,1336.2,,,市街化区域,,所有権,無,無,,,井戸,,浄化槽,,専用,,専用,,,,空き有,,3700,3600,,3300,,6200,,,200,60,無,無,富山県,高岡市
,,9003559,売買居住用,富山県,高岡市,JR氷見線,越中中川,950m,13490000,1978/1/1,99.18,,木造,5,,,宅地,市街化区域,第一種中高層住居専用地域,所有権,無,無,,,公営,プロパン,下水,,専用,,専用,,,,空き有,,1800,900,,1200,,800,,,200,60,無,無,富山県,高岡市
,,9003560,売買居住用,富山県,高岡市,,,400m,12990000,1970/1/1,140.15,,木造,4,210.54,,宅地,,,所有権,無,無,,,公営,プロパン,下水,,専用,,専用,,,,空き有,,1900,3500,,2400,,3600,,,,,無,無,富山県,高岡市
,,9003561,売買居住用,富山県,高岡市,,,180m,12990000,1967/1/1,124.89,,木造,5,386.77,,宅地,市街化調整区域,,所有権,無,無,,,公営,プロパン,下水,,専用,,専用,,,,空き有,,58,4700,,4200,,5500,,,,,無,無,富山県,高岡市
,,9003576,売買居住用,富山県,高岡市,JR氷見線,伏木,,3900000,1976/1/1,92.92,,木造,3,279.34,公簿,宅地,市街化区域,第一種住居地域,所有権,無,無,,,,プロパン,下水,,,,,,,,空き有,,,,,,,,,,200,60,無,無,富山県,高岡市
,,9003585,売買居住用,秋田県,秋田市,JR奥羽本線,土崎,2200m,19800000,1971/12/1,91.8,,木造,4,807.72,公簿,,市街化区域,第一種住居地域,所有権,無,無,,広い敷地（公衆用道路を除いて８０７．７２㎡（２４４．３３坪）））で、敷地の一部を過去には家庭菜園として、現在は月決め賃貸駐車場として利用されている４K平屋建て住宅です。,公営,都市ガス,下水,,,,,,,,,,1300,1000,,400,,4500,,,200,60,無,無,秋田県,秋田市
,,9003591,売買居住用,大分県,大分市,JR日豊本線,牧,18分,31700000,2016/12/1,101.43,,木造,4,149.51,公簿,宅地,市街化区域,第二種中高層住居専用地域,所有権,無,無,1,,公営,,下水,,,,,,,,,,,,,,,,,,200,60,無,無,大分県,大分市
,,9003619,売買居住用,秋田県,秋田市,JR奥羽本線,四ツ小屋,2000m,11000000,1981/11/1,133.09,,木造,4,247.77,公簿,宅地,市街化区域,第一種低層住居専用地域,所有権,無,無,,"御野場にある車庫付４ＬＤＫ住宅です。車庫に１台
駐車場に２台駐車可能です。",公営,都市ガス,下水,,,,,,ガス,,,有り,800,2300,,1000,,1000,,,80,50,無,無,秋田県,秋田市
,,9003624,売買居住用,大分県,大分市,JR久大本線,豊後国分,29分,11800000,1968/5/1,109.11,,木造,5,594.08,公簿,宅地,市街化調整区域,,所有権,無,無,,,公営,,下水,,,,,,,,,,,,,,,,,,200,60,無,無,大分県,大分市
,,9003644,売買居住用,大分県,大分市,JR日豊本線,大在,28分,12800000,1994/12/1,108.89,,木造,4,167.55,公簿,宅地,市街化区域,第二種中高層住居専用地域,所有権,無,無,1,,公営,,,,,,,,,,,,,,,,,,,,200,60,無,無,大分県,大分市
,,9003709,売買居住用,大分県,大分市,JR日豊本線,大分,18分,38800000,1992/8/1,120.1,,木造,4,248.54,公簿,宅地,市街化区域,第二種住居地域,所有権,無,無,,,公営,プロパン,下水,,,,,,,,,,,,,,,,,,200,60,無,無,大分県,大分市
,,9003710,売買居住用,大分県,大分市,JR久大本線,豊後国分,34分,23000000,2005/5/1,182.75,,木造,7,280.13,公簿,宅地,市街化区域,第一種低層住居専用地域,所有権,無,無,1,,公営,,下水,,,,,,,,,,,,,,,,,,100,50,無,無,大分県,大分市
,,9003711,売買居住用,大分県,大分市,JR豊肥本線,滝尾,9分,29800000,2011/12/1,129.96,,木造,4,285.96,公簿,宅地,市街化区域,準工業地域,所有権,無,無,,,公営,,,,,,,,IH,,,,,,,,,,,,200,60,無,無,大分県,大分市
,,9003712,売買居住用,大分県,大分市,JR久大本線,向之原,41分,13800000,1981/2/1,180.41,,木造,6,309.27,公簿,宅地,市街化区域,第一種低層住居専用地域,所有権,無,無,1,,公営,プロパン,下水,,,,,,,,,,,,,,,,,,100,50,無,無,大分県,大分市
,,9003750,売買居住用,福島県,福島市,JR東北新幹線,福島,8200m,8950000,,99.16,,木造,5,370.15,公簿,,,,,無,無,,農地（畑、239㎡）付き売買となります（無償譲渡）。家庭菜園に適します。,,,浄化槽,,,,,,,,空き有,,170,3200,,,,,,,,,有,無,福島県,福島市
,,9003757,売買居住用,新潟県,佐渡市,,,,9800000,,72.72,,木造,1,133.16,,,,,,無,無,,2022年にリフォーム済みで補修不要。商店街も近く、生活に便利な立地。,公営,プロパン,下水,,,給湯設備：灯油,,,,,空き有,,700,1800,,100,,16000,,,,,無,無,新潟県,佐渡市
,,9003784,売買居住用,大分県,大分市,JR日豊本線,鶴崎,49分,22700000,1994/4/1,105.16,,木造,4,216.02,公簿,宅地,市街化区域,第一種中高層住居専用地域,所有権,無,無,1,,公営,プロパン,浄化槽,,,,,,,,,,,,,,,,,,200,60,無,無,大分県,大分市
,,9003813,賃貸居住用,大分県,大分市,JR豊肥本線,中判田,23分,55000,1972/8/1,103.93,,木造,4,,,,,,,無,無,,,,,,,,,,,,,,,,,,,,,,,,,無,無,大分県,大分市
,,9003814,売買居住用,大分県,大分市,,,6分,6500000,1972/9/1,110.29,,木造,5,538.84,公簿,宅地,市街化調整区域,,所有権,無,無,1,,公営,,浄化槽,,,,,,,,,,,,,,,,,,200,60,無,無,大分県,大分市
,,9003839,賃貸居住用,兵庫県,赤穂市,,,,39000,,,,指定なし,5,,,,,,,無,無,,,,,,,,,,,,,,,,,,,,,,,,,無,無,兵庫県,赤穂市
,,9003845,売買居住用,山口県,柳井市,,,,7000000,1977/1/1,277.22,,木造,7,652.01,公簿,宅地,,,所有権,無,無,,2階から海の向こうに周防大島が見える広縁のある物件です。,公営,,浄化槽,,専用,,専用,,電気,,空き有,,,,,,,,,,,,無,無,山口県,柳井市
,,9003846,売買居住用,山口県,柳井市,,,100m,2000000,,33.05,,木造,5,235.27,公簿,宅地,,,所有権,無,無,,海の近くの平屋の物件です。,公営,プロパン,浄化槽,,専用,,専用,,ガス,,,,,,,,,,,,,,無,無,山口県,柳井市
,,9003849,売買居住用,新潟県,上越市,JR信越本線,上下浜,700m,500000,1969/7/1,,,木造,7,548.76,,,,,,無,無,,「詳細をみる」→「まちの情報」中、「上越市空き家情報バンク」で詳細をご覧ください。お問い合わせや内覧のお申し込みは、そちらに記載の担当不動産事業者が承ります。,公営,都市ガス,浄化槽,,,,,,,,空き有,,700,5700,,3400,,5200,,,,,無,無,新潟県,上越市
08/23/25,,9003881,賃貸居住用,静岡県,榛原郡吉田町,,,50m,53000,1971/5/1,99.37,,木造,4,,,,,,,無,無,,,公営,プロパン,下水,室内,専用,,専用,,ガス,,空き有,,50,1300,1400,300,600,1500,400,100,,,無,無,静岡県,榛原郡吉田町
08/23/25,20000,9003885,賃貸居住用,徳島県,美馬市,JR徳島線,小島,3000m,20000,,209.03,,木造,9,,,,,,,無,無,,部屋数が多いので、DIYができる人におすすめ。,公営,プロパン,浄化槽,有,専用,,専用,,ガス,,空き有,,3000,2000,,1000,,,,,,,無,無,徳島県,美馬市
08/23/25,11500000,9003892,売買居住用,青森県,弘前市,,,,6000000,,76.55,,木造,,106.41,,宅地,市街化区域,第一種住居地域,,無,有,1,"津軽藩ねぷた村まで徒歩約４分
弘前公園中央高校口まで徒歩約６分
補助金あり",公営,プロパン,下水,,,,,,,,,,,,,,,,,,200,60,無,無,青森県,弘前市
,,9003930,売買居住用,大分県,大分市,JR豊肥本線,中判田,56分,22700000,2004/12/1,116.37,,木造,3,246.42,公簿,宅地,市街化区域,第一種低層住居専用地域,所有権,無,無,1,,公営,プロパン,下水,,,,,,,,,,,,,,,,,,100,50,無,無,大分県,大分市
,,9003931,売買居住用,大分県,大分市,JR日豊本線,鶴崎,62分,41300000,2021/7/1,113.65,,木造,3,283,公簿,宅地,市街化区域,第二種低層住居専用地域,所有権,無,無,1,,公営,プロパン,下水,,,,,,,,,,,,,,,,,,150,60,無,無,大分県,大分市
,,9003956,賃貸居住用,新潟県,長岡市,JR信越本線,長岡,1分,100000,1981/5/1,164.97,,RC(鉄筋コンクリート),5,,,,,,,無,無,,閑静な住宅街に位置する2世帯同居も可能な鉄筋コンクリート造陸屋根の5LDDKK住宅です。,公営,都市ガス,下水,,専用,,専用,,,,空き有,,750,900,290,1000,,1500,,,,,無,無,新潟県,長岡市
,,9003957,売買居住用,新潟県,長岡市,JR信越本線,長岡,1分,10000000,1981/5/1,164.97,,RC(鉄筋コンクリート),5,231,公簿,,市街化区域,第一種住居地域,所有権,無,無,,閑静な住宅街に位置する2世帯同居も可能な鉄筋コンクリート造陸屋根の5LDDKK住宅です。,公営,都市ガス,下水,,専用,,専用,,,,空き有,,750,900,290,1000,,1500,,,,,無,無,新潟県,長岡市
,,9003982,売買居住用,秋田県,秋田市,JR奥羽本線,秋田,7600m,810000,1981/6/1,99.36,,木造,5,372.95,公簿,宅地,市街化調整区域,,所有権,無,無,,"①市街化調整区域内の農家住宅です。購入する場合は事前に都市計画法第４３条第１項の建築物の用途変更の許可が必要です。
②土砂災害警戒区域内です。",公営,プロパン,汲み取り式,室内,専用,,専用,,ガス,,,,1100,2300,,,,4600,,,200,70,無,無,秋田県,秋田市
