CONTRACT_INFO_DATE,CONTRACT_INFO_AMOUNT/RENT,ID,PROPERTY_CATEGORY,PREFECTURE,CITY,NEAREST_TRAIN_LINE,NEAREST_STATION,DISTANCE_TO_NEAREST_STATION_ON_FOOT,AMOUNT/RENT,DATE_OF_CONSTRUCTION,OCCUPATION_AREA,TOTAL_NUMBER_OF_UNITS,CONSTRUCTION,NUMBER_OF_ROOMS,SIZE_OF_LOT,SIZE_OF_LOT_MEASUREMENT_METHOD,LAND_CATEGORY,CITY_PLANNING_AREA,USE_DISTRICT,LAND_OWNERSHIP,PRIVATE_ROAD,SETBACK,NUMBER_OF_CONNECTED_ROADS,STRONG_POINTS,WATER_SUPPLY,GUS_SUPPLY,DRAINAGE,PLACE_OF_WASHER,BATH,BATH_NOTE,TOILET,TOILET_NOTE,STOVE_HEATING_SYSTEM,GARDEN,PARKING,BICYCLE_PARKING,DISTANCE_TO_ELEMENTARY_SCHOOL,DISTANCE_TO_JUNIOR_HIGH_SCHOOL,DISTANCE_TO_COMBINIENCE_STORE,DISTANCE_TO_SUPERMARKET,DISTANCE_TO_DRUG_STORE,DISTANCE_TO_HOSPITAL,DISTANCE_TO_PLAYGROUND,DISTANCE_TO_BANK,FLOOR_AREA_RATIO,BUILDING_COVERAGE_RATIO,FARMLAND,RETAIL_PREMISES,LOCAL_GOVERNMENT_PREFECTURE,LOCAL_GOVERNMENT_CITY
,,9000242,売買居住用,宮崎県,えびの市,,,,4980000,1968/1/1,107.96,,木造,5,877,,,,,,無,無,,"家財道具：無
家庭菜園：有（80㎡）
納屋・倉庫：有（100㎡）
付随した農地：無",公営,プロパン,,,専用,ボイラー（灯油）,専用,浄化槽,ガス,,空き有,,,,,,,,,,,,無,無,宮崎県,えびの市
,,9000244,売買居住用,宮崎県,えびの市,,,,1000000,1935/1/1,120.86,,木造,5,809.91,,宅地,市街化区域,,所有権,無,無,,"①静かな田園地帯の古民家住宅地に建つ一軒家
②１.４km圏内に、駅・病院・スーパー・小中学校・市役所出張所などが有り利便性大
③京町温泉街に近くワンコイン足らずで気軽に温泉が楽しめる",公営,プロパン,汲み取り式,室内,専用,ボイラー（灯油）,専用,洋式（簡易水洗）,ガス,,空き有,,,,,,,,,,,,無,無,宮崎県,えびの市
02/25/25,,9000274,売買居住用,兵庫県,たつの市,,,,4800000,1973/1/1,124.37,,木造,5,148.76,公簿,宅地,市街化区域,,,無,無,,詳細な情報は市空き家バンク参照 https://www.city.tatsuno.lg.jp/machimiraisozo/akiyatouroku.html,公営,その他,下水,,,,,,,,,,,,,,,,,,,,無,無,兵庫県,たつの市
,,9000286,売買居住用,岡山県,笠岡市,JR山陽本線,笠岡,,12800000,,132,,木造,3,203.84,,,,,,無,無,,閑静な住宅街です。自然素材を使用しています。中古のログハウスです。,公営,プロパン,下水,,専用,灯油,専用,洋式・水洗,ガス,,,,2200,1700,,800,,1100,,,,,無,無,岡山県,笠岡市
,,9000298,賃貸居住用,大分県,大分市,JR久大本線,賀来,9分,83000,1990/3/1,122.55,,木造,3,,,,,,,無,無,,,公営,都市ガス,,室内,専用,,専用,,,有り,,,,,,,,,,,,,無,無,大分県,大分市
,,9000305,賃貸居住用,三重県,伊勢市,,,,60000,1982/1/1,110.29,,軽量鉄骨造,,,,,,,,無,無,,,,,,,,,,,,,,,,,,,,,,,,,無,無,三重県,伊勢市
,,9000310,売買居住用,大分県,大分市,JR久大本線,南大分,17分,29800000,2010/6/1,109.3,,木造,4,207.11,公簿,宅地,市街化区域,第一種住居地域,所有権,無,無,2,,公営,,下水,,,,,,IH,,,,,,,,,,,,200,60,無,無,大分県,大分市
,,9000311,売買土地,大分県,大分市,JR豊肥本線,敷戸,23分,14500000,,,,指定なし,,244.89,公簿,宅地,市街化区域,第一種低層住居専用地域,所有権,無,無,1,,,,,,,,,,,,,,,,,,,,,,100,50,無,無,大分県,大分市
,,9000321,売買居住用,三重県,伊勢市,,,,1500000,1973/1/1,100.2,,木造,,324.94,,,,,,無,無,,,,,,,,,,,,,,,,,,,,,,,,,無,無,三重県,伊勢市
,,9000322,売買居住用,三重県,伊勢市,,,,5000000,1996/4/1,86.12,,木造,,102.08,,,,,,無,無,,,,,,,,,,,,,,,,,,,,,,,,,無,無,三重県,伊勢市
,,9000324,賃貸居住用,秋田県,秋田市,JR奥羽本線,秋田,3300m,50000,1976/4/1,,,木造,4,,,,,,,無,無,,秋田中央インターにも近い４DK、２階建て住宅です。,公営,都市ガス,下水,,,,,,,,,,800,2300,,1700,,1500,,,,,無,無,秋田県,秋田市
,,9000359,売買居住用,秋田県,大館市,JR奥羽本線,大館,28分,17500000,1980/1/1,101.43,,木造,,232.09,,,,,,無,無,,"敷地内に2台駐車可
リノベーション済",公営,プロパン,浄化槽,,,,,,,,,,1600,4300,850,1000,950,4000,,,,,無,無,秋田県,大館市
,,9000394,売買居住用,富山県,高岡市,万葉線,市民病院前,23分,800000,1937/1/1,152.06,,木造,9,173.12,公簿,宅地,,,所有権,無,無,1,,,,,,,,,,,,無,,900,2000,,,,2200,,,,,無,無,富山県,高岡市
,,9000404,売買居住用,秋田県,大館市,JR花輪線,東大館,30分,15000000,1966/12/1,53.7,1,木造,2,198.39,公簿,宅地,非線引区域,第一種低層住居専用地域,所有権,無,無,2,敷地内に2台駐車可,公営,,下水,,,,,,,,,,2300,3000,1000,1700,,3100,,,80,50,無,無,秋田県,大館市
,,9000407,売買居住用,大分県,大分市,JR久大本線,豊後国分,34分,32800000,2015/10/1,109.71,,木造,4,226.32,公簿,宅地,市街化区域,近隣商業地域,所有権,無,無,1,,公営,,下水,,,,,,IH,,,,,,,,,,,,200,80,無,無,大分県,大分市
,,9000408,売買居住用,大分県,大分市,,,4分,12800000,1984/11/1,90.15,,木造,5,169.1,公簿,宅地,市街化区域,第二種低層住居専用地域,所有権,無,無,1,,,,,,,,,,,,,,,,,,,,,,150,60,無,無,大分県,大分市
,,9000428,売買土地,京都府,南丹市,JR山陰本線,胡麻,18分,2000000,,,,指定なし,,356.75,公簿,宅地,都市計画区域外,,所有権,無,無,1,,,,,,,,,,,,,,1800,7900,,,,,,,,,無,無,京都府,南丹市
,,9000433,売買事業用,愛知県,豊田市,,,,3500000,,,,指定なし,,,,,,,,無,無,,,,,,,,,,,,,,,,,,,,,,,,,無,無,愛知県,豊田市
,,9000441,売買居住用,和歌山県,日高郡印南町,,,,6700000,2000/4/1,57.13,,木造,2,422.81,,,,,,無,無,,,公営,プロパン,浄化槽,,専用,,専用,,,有り,空き有,,1500,2800,7000,7300,,10000,,,,,無,無,和歌山県,日高郡印南町
01/25/25,,9000445,売買居住用,群馬県,吾妻郡嬬恋村,JR吾妻線,万座・鹿沢口,,8500000,1993/1/1,132.79,,軽量鉄骨造,4,532,,,,,,無,無,,,,プロパン,,,,,,,,有り,空き有,,,,,,,,,,,,無,無,群馬県,吾妻郡嬬恋村
,,9000455,売買居住用,京都府,南丹市,JR山陰本線,日吉,6分,12800000,1997/8/1,,,木造,3,818.47,公簿,宅地,都市計画区域外,,所有権,無,無,1,,公営,,浄化槽,,,,,,,,空き有,,5300,5500,,,,,,,,,無,無,京都府,南丹市
,,9000457,売買土地,岡山県,笠岡市,JR山陽本線,笠岡,,9800000,,,,指定なし,,296.15,,宅地,,第二種中高層住居専用地域,,無,無,,2筆セットでの売買です。利便性の良い土地です。,,,,,,,,,,,,,700,1500,,500,,3300,,,200,60,無,無,岡山県,笠岡市
,,9000463,売買土地,富山県,高岡市,,,3分,2800000,,,,指定なし,,363.63,公簿,宅地,市街化区域,,所有権,無,無,1,"・東向き約110坪の広々敷地でマイホーム建てませんか？
・上下水道宅地内引込済
・34条11号区域(自己用住宅建築可)",,,,,,,,,,,,,,650,,,,,,,400,70,無,無,富山県,高岡市
,,9000485,売買居住用,秋田県,秋田市,JR奥羽本線,上飯島,700m,3500000,1982/7/1,85.29,,木造,4,195.3,公簿,宅地,市街化区域,第一種低層住居専用地域,所有権,無,無,,"飯島鼠田にある４Ｋ、２階建て住宅です。
車庫に１台駐車場に２台駐車可能です。",公営,,その他,,,,,,電気,,空き有,,400,1700,,1700,,2700,,,60,40,無,無,秋田県,秋田市
,,9000491,売買居住用,秋田県,秋田市,JR奥羽本線,上飯島,300m,5000000,1973/1/1,192.11,,木造,8,748.27,公簿,宅地,市街化区域,第一種低層住居専用地域,所有権,無,無,,国道7号線へのアクセス良好で生活利便性の高い地域です。,公営,都市ガス,下水,,専用,,専用,,ガス,,,,1300,3100,340,2300,2200,5400,5000,1300,60,40,無,無,秋田県,秋田市
,,9000495,売買居住用,京都府,南丹市,JR山陰本線,和知,4分,6800000,1998/9/1,118,,木造,4,433.05,公簿,宅地,都市計画区域外,,所有権,無,無,1,,公営,プロパン,下水,,,,,,,,空き有,,,,,,,,,,,,無,無,京都府,南丹市
,,9000511,売買居住用,大分県,大分市,JR日豊本線,大在,19分,15900000,2003/3/1,72.95,,木造,3,275.65,公簿,宅地,市街化区域,第一種低層住居専用地域,所有権,無,無,1,,公営,,,,,,,,,,,,,,,,,,,,100,50,無,無,大分県,大分市
